metropole,type_local,model,best_score_cv_search,best_params,rmse,score_r2_test,error_prix_actualise_median,error_prix_actualise_mean,shape
Métropole Nice Côte d'Azur,Maison,xgboost,0.4919942972334126,"{'xg__n_estimators': 1000, 'xg__eta': 0.02}",1461.4446692198444,-0.005524046835061025,18.019686,24.641901,"(3712, 39)"
Métropole du Grand Paris,Appartement,linear,0.7909823182269191,{'poly_features__degree': 1},71627250570.25484,-21445.356820702982,903769200.0,1.086674e+09,"(357999, 38)"
Métropole Nice Côte d'Azur,Appartement,linear,0.46555857772776954,{'poly_features__degree': 1},82277697082.87471,-9658803028032480.0,1919813000.0,2.010425e+09,"(52565, 39)"
Métropole d'Aix-Marseille-Provence,Maison,linear,0.344889720201315,{'poly_features__degree': 1},99473172188.88852,-2.3815012552762856e+16,2518572000.0,2.632900e+09,"(29341, 37)"
Métropole d'Aix-Marseille-Provence,Appartement,linear,-4.221195498480218e+18,{'poly_features__degree': 2},669752090949.5037,-0.0032294744780656526,16949270000.0,2.009148e+10,"(76357, 37)"
Nantes Métropole,Maison,linear,-3.2847656167002144e+16,{'poly_features__degree': 1},6857501443172.173,-1.568144820063713e+20,182743600000.0,1.860493e+11,"(19258, 40)"
Métropole Européenne de Lille,Maison,linear,0.4593522764400067,{'poly_features__degree': 1},10906551017530.271,-4.966081879914652e+20,426979900000.0,4.534483e+11,"(49869, 38)"
Nantes Métropole,Appartement,linear,0.5582865949425379,{'poly_features__degree': 1},20417415515271.992,-1.0629668113159313e+21,575524500000.0,6.139323e+11,"(32009, 38)"
Métropole du Grand Paris,Maison,linear,-2.8384909392225526e+18,{'poly_features__degree': 2},58699481799981.66,-0.0011748212343858366,723535600000.0,9.105542e+11,"(57275, 36)"
Bordeaux Métropole,Maison,linear,-2.2141293807488765e+18,{'poly_features__degree': 1},71229470969292.03,-8.351515976019442e+21,1666501000000.0,1.738981e+12,"(22822, 39)"
Métropole Nice Côte d'Azur,Maison,linear,0.48660606749153973,{'poly_features__degree': 1},121129838793817.47,-8.007528867386727e+21,2687568000000.0,2.970062e+12,"(3712, 39)"
Toulouse Métropole,Appartement,linear,0.6151935785157707,{'poly_features__degree': 1},87799803413553.12,-1.7243648128987863e+22,2858598000000.0,2.903069e+12,"(42840, 40)"
Montpellier Méditerranée Métropole,Appartement,linear,0.563183956706189,{'poly_features__degree': 1},137618449658146.11,-1.3473424133234801,3099566000000.0,3.360686e+12,"(26170, 38)"
Bordeaux Métropole,Appartement,linear,0.6206504833194183,{'poly_features__degree': 1},406470055295068.7,-2.1285752985174197e+23,10268720000000.0,1.059481e+13,"(35602, 38)"
